,作物编号,作物名称,地块类型,种植季次,亩产量/斤,销售单价平均值/(元/斤),种植成本/(元/亩),预期销售量/斤,地块名称,地块面积/亩,豆类,种植规模,是否种,年份
31,2,黑豆,平旱地,第一季,500.0,7.5,400.0,21850.0,A6,55.0,1,0.0,0,2023
32,2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B1,60.0,1,0.0,0,2023
33,2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B2,46.0,1,46.0,1,2023
34,2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B3,40.0,1,0.0,0,2023
35,2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B4,28.0,1,0.0,0,2023
36,2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B5,25.0,1,0.0,0,2023
37,2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B6,86.0,1,0.0,0,2023
38,2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B7,55.0,1,0.0,0,2023
39,2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B8,44.0,1,0.0,0,2023
40,2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B9,50.0,1,0.0,0,2023
41,2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B10,25.0,1,0.0,0,2023
42,2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B11,60.0,1,0.0,0,2023
43,2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B12,45.0,1,0.0,0,2023
44,2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B13,35.0,1,0.0,0,2023
45,2,黑豆,梯田,第一季,475.0,7.5,400.0,21850.0,B14,20.0,1,0.0,0,2023
46,2,黑豆,山坡地,第一季,450.0,7.5,400.0,21850.0,C1,15.0,1,0.0,0,2023
47,2,黑豆,山坡地,第一季,450.0,7.5,400.0,21850.0,C2,13.0,1,0.0,0,2023
48,2,黑豆,山坡地,第一季,450.0,7.5,400.0,21850.0,C3,15.0,1,0.0,0,2023
49,2,黑豆,山坡地,第一季,450.0,7.5,400.0,21850.0,C4,18.0,1,0.0,0,2023
50,2,黑豆,山坡地,第一季,450.0,7.5,400.0,21850.0,C5,27.0,1,0.0,0,2023
51,2,黑豆,山坡地,第一季,450.0,7.5,400.0,21850.0,C6,20.0,1,0.0,0,2023
52,3,红豆,平旱地,第一季,400.0,8.25,350.0,22400.0,A1,80.0,1,0.0,0,2023
53,3,红豆,平旱地,第一季,400.0,8.25,350.0,22400.0,A2,55.0,1,0.0,0,2023
54,3,红豆,平旱地,第一季,400.0,8.25,350.0,22400.0,A3,35.0,1,0.0,0,2023
55,3,红豆,平旱地,第一季,400.0,8.25,350.0,22400.0,A4,72.0,1,0.0,0,2023
56,3,红豆,平旱地,第一季,400.0,8.25,350.0,22400.0,A5,68.0,1,0.0,0,2023
57,3,红豆,平旱地,第一季,400.0,8.25,350.0,22400.0,A6,55.0,1,0.0,0,2023
58,3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B1,60.0,1,0.0,0,2023
59,3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B2,46.0,1,0.0,0,2023
60,3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B3,40.0,1,40.0,1,2023
61,3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B4,28.0,1,0.0,0,2023
62,3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B5,25.0,1,0.0,0,2023
63,3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B6,86.0,1,0.0,0,2023
64,3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B7,55.0,1,0.0,0,2023
65,3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B8,44.0,1,0.0,0,2023
66,3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B9,50.0,1,0.0,0,2023
67,3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B10,25.0,1,0.0,0,2023
68,3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B11,60.0,1,0.0,0,2023
69,3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B12,45.0,1,0.0,0,2023
70,3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B13,35.0,1,0.0,0,2023
71,3,红豆,梯田,第一季,380.0,8.25,350.0,22400.0,B14,20.0,1,0.0,0,2023
72,3,红豆,山坡地,第一季,360.0,8.25,350.0,22400.0,C1,15.0,1,0.0,0,2023
73,3,红豆,山坡地,第一季,360.0,8.25,350.0,22400.0,C2,13.0,1,0.0,0,2023
74,3,红豆,山坡地,第一季,360.0,8.25,350.0,22400.0,C3,15.0,1,0.0,0,2023
75,3,红豆,山坡地,第一季,360.0,8.25,350.0,22400.0,C4,18.0,1,0.0,0,2023
76,3,红豆,山坡地,第一季,360.0,8.25,350.0,22400.0,C5,27.0,1,0.0,0,2023
77,3,红豆,山坡地,第一季,360.0,8.25,350.0,22400.0,C6,20.0,1,20.0,1,2023
78,4,绿豆,平旱地,第一季,350.0,7.0,350.0,33040.0,A1,80.0,1,0.0,0,2023
79,4,绿豆,平旱地,第一季,350.0,7.0,350.0,33040.0,A2,55.0,1,0.0,0,2023
80,4,绿豆,平旱地,第一季,350.0,7.0,350.0,33040.0,A3,35.0,1,0.0,0,2023
81,4,绿豆,平旱地,第一季,350.0,7.0,350.0,33040.0,A4,72.0,1,0.0,0,2023
82,4,绿豆,平旱地,第一季,350.0,7.0,350.0,33040.0,A5,68.0,1,68.0,1,2023
83,4,绿豆,平旱地,第一季,350.0,7.0,350.0,33040.0,A6,55.0,1,0.0,0,2023
84,4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B1,60.0,1,0.0,0,2023
85,4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B2,46.0,1,0.0,0,2023
86,4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B3,40.0,1,0.0,0,2023
87,4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B4,28.0,1,28.0,1,2023
88,4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B5,25.0,1,0.0,0,2023
89,4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B6,86.0,1,0.0,0,2023
90,4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B7,55.0,1,0.0,0,2023
91,4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B8,44.0,1,0.0,0,2023
92,4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B9,50.0,1,0.0,0,2023
93,4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B10,25.0,1,0.0,0,2023
94,4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B11,60.0,1,0.0,0,2023
95,4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B12,45.0,1,0.0,0,2023
96,4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B13,35.0,1,0.0,0,2023
97,4,绿豆,梯田,第一季,330.0,7.0,350.0,33040.0,B14,20.0,1,0.0,0,2023
98,4,绿豆,山坡地,第一季,315.0,7.0,350.0,33040.0,C1,15.0,1,0.0,0,2023
99,4,绿豆,山坡地,第一季,315.0,7.0,350.0,33040.0,C2,13.0,1,0.0,0,2023
100,4,绿豆,山坡地,第一季,315.0,7.0,350.0,33040.0,C3,15.0,1,0.0,0,2023
101,4,绿豆,山坡地,第一季,315.0,7.0,350.0,33040.0,C4,18.0,1,0.0,0,2023
102,4,绿豆,山坡地,第一季,315.0,7.0,350.0,33040.0,C5,27.0,1,0.0,0,2023
103,4,绿豆,山坡地,第一季,315.0,7.0,350.0,33040.0,C6,20.0,1,0.0,0,2023
104,5,爬豆,平旱地,第一季,415.0,6.75,350.0,9875.0,A1,80.0,1,0.0,0,2023
105,5,爬豆,平旱地,第一季,415.0,6.75,350.0,9875.0,A2,55.0,1,0.0,0,2023
106,5,爬豆,平旱地,第一季,415.0,6.75,350.0,9875.0,A3,35.0,1,0.0,0,2023
107,5,爬豆,平旱地,第一季,415.0,6.75,350.0,9875.0,A4,72.0,1,0.0,0,2023
108,5,爬豆,平旱地,第一季,415.0,6.75,350.0,9875.0,A5,68.0,1,0.0,0,2023
109,5,爬豆,平旱地,第一季,415.0,6.75,350.0,9875.0,A6,55.0,1,0.0,0,2023
110,5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B1,60.0,1,0.0,0,2023
111,5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B2,46.0,1,0.0,0,2023
112,5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B3,40.0,1,0.0,0,2023
113,5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B4,28.0,1,0.0,0,2023
114,5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B5,25.0,1,25.0,1,2023
115,5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B6,86.0,1,0.0,0,2023
116,5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B7,55.0,1,0.0,0,2023
117,5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B8,44.0,1,0.0,0,2023
118,5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B9,50.0,1,0.0,0,2023
119,5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B10,25.0,1,0.0,0,2023
120,5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B11,60.0,1,0.0,0,2023
121,5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B12,45.0,1,0.0,0,2023
122,5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B13,35.0,1,0.0,0,2023
123,5,爬豆,梯田,第一季,395.0,6.75,350.0,9875.0,B14,20.0,1,0.0,0,2023
124,5,爬豆,山坡地,第一季,375.0,6.75,350.0,9875.0,C1,15.0,1,0.0,0,2023
125,5,爬豆,山坡地,第一季,375.0,6.75,350.0,9875.0,C2,13.0,1,0.0,0,2023
126,5,爬豆,山坡地,第一季,375.0,6.75,350.0,9875.0,C3,15.0,1,0.0,0,2023
127,5,爬豆,山坡地,第一季,375.0,6.75,350.0,9875.0,C4,18.0,1,0.0,0,2023
128,5,爬豆,山坡地,第一季,375.0,6.75,350.0,9875.0,C5,27.0,1,0.0,0,2023
129,5,爬豆,山坡地,第一季,375.0,6.75,350.0,9875.0,C6,20.0,1,0.0,0,2023
130,6,小麦,平旱地,第一季,800.0,3.5,450.0,170840.0,A1,80.0,0,80.0,1,2023
131,6,小麦,平旱地,第一季,800.0,3.5,450.0,170840.0,A2,55.0,0,0.0,0,2023
132,6,小麦,平旱地,第一季,800.0,3.5,450.0,170840.0,A3,35.0,0,0.0,0,2023
133,6,小麦,平旱地,第一季,800.0,3.5,450.0,170840.0,A4,72.0,0,0.0,0,2023
134,6,小麦,平旱地,第一季,800.0,3.5,450.0,170840.0,A5,68.0,0,0.0,0,2023
135,6,小麦,平旱地,第一季,800.0,3.5,450.0,170840.0,A6,55.0,0,0.0,0,2023
136,6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B1,60.0,0,60.0,1,2023
137,6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B2,46.0,0,0.0,0,2023
138,6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B3,40.0,0,0.0,0,2023
139,6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B4,28.0,0,0.0,0,2023
140,6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B5,25.0,0,0.0,0,2023
141,6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B6,86.0,0,0.0,0,2023
142,6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B7,55.0,0,55.0,1,2023
143,6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B8,44.0,0,0.0,0,2023
144,6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B9,50.0,0,0.0,0,2023
145,6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B10,25.0,0,0.0,0,2023
146,6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B11,60.0,0,0.0,0,2023
147,6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B12,45.0,0,0.0,0,2023
148,6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B13,35.0,0,0.0,0,2023
149,6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B14,20.0,0,0.0,0,2023
150,6,小麦,山坡地,第一季,720.0,3.5,450.0,170840.0,C1,15.0,0,0.0,0,2023
151,6,小麦,山坡地,第一季,720.0,3.5,450.0,170840.0,C2,13.0,0,0.0,0,2023
152,6,小麦,山坡地,第一季,720.0,3.5,450.0,170840.0,C3,15.0,0,0.0,0,2023
153,6,小麦,山坡地,第一季,720.0,3.5,450.0,170840.0,C4,18.0,0,0.0,0,2023
154,6,小麦,山坡地,第一季,720.0,3.5,450.0,170840.0,C5,27.0,0,27.0,1,2023
155,6,小麦,山坡地,第一季,720.0,3.5,450.0,170840.0,C6,20.0,0,0.0,0,2023
156,7,玉米,平旱地,第一季,1000.0,3.0,500.0,132750.0,A1,80.0,0,0.0,0,2023
157,7,玉米,平旱地,第一季,1000.0,3.0,500.0,132750.0,A2,55.0,0,55.0,1,2023
158,7,玉米,平旱地,第一季,1000.0,3.0,500.0,132750.0,A3,35.0,0,35.0,1,2023
159,7,玉米,平旱地,第一季,1000.0,3.0,500.0,132750.0,A4,72.0,0,0.0,0,2023
160,7,玉米,平旱地,第一季,1000.0,3.0,500.0,132750.0,A5,68.0,0,0.0,0,2023
161,7,玉米,平旱地,第一季,1000.0,3.0,500.0,132750.0,A6,55.0,0,0.0,0,2023
162,7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B1,60.0,0,0.0,0,2023
163,7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B2,46.0,0,0.0,0,2023
164,7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B3,40.0,0,0.0,0,2023
165,7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B4,28.0,0,0.0,0,2023
166,7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B5,25.0,0,0.0,0,2023
167,7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B6,86.0,0,0.0,0,2023
168,7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B7,55.0,0,0.0,0,2023
169,7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B8,44.0,0,0.0,0,2023
170,7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B9,50.0,0,0.0,0,2023
171,7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B10,25.0,0,0.0,0,2023
172,7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B11,60.0,0,0.0,0,2023
173,7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B12,45.0,0,45.0,1,2023
174,7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B13,35.0,0,0.0,0,2023
175,7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B14,20.0,0,0.0,0,2023
176,7,玉米,山坡地,第一季,900.0,3.0,500.0,132750.0,C1,15.0,0,0.0,0,2023
177,7,玉米,山坡地,第一季,900.0,3.0,500.0,132750.0,C2,13.0,0,0.0,0,2023
178,7,玉米,山坡地,第一季,900.0,3.0,500.0,132750.0,C3,15.0,0,0.0,0,2023
179,7,玉米,山坡地,第一季,900.0,3.0,500.0,132750.0,C4,18.0,0,0.0,0,2023
180,7,玉米,山坡地,第一季,900.0,3.0,500.0,132750.0,C5,27.0,0,0.0,0,2023
181,7,玉米,山坡地,第一季,900.0,3.0,500.0,132750.0,C6,20.0,0,0.0,0,2023
182,8,谷子,平旱地,第一季,400.0,6.75,360.0,71400.0,A1,80.0,0,0.0,0,2023
183,8,谷子,平旱地,第一季,400.0,6.75,360.0,71400.0,A2,55.0,0,0.0,0,2023
184,8,谷子,平旱地,第一季,400.0,6.75,360.0,71400.0,A3,35.0,0,0.0,0,2023
185,8,谷子,平旱地,第一季,400.0,6.75,360.0,71400.0,A4,72.0,0,0.0,0,2023
186,8,谷子,平旱地,第一季,400.0,6.75,360.0,71400.0,A5,68.0,0,0.0,0,2023
187,8,谷子,平旱地,第一季,400.0,6.75,360.0,71400.0,A6,55.0,0,55.0,1,2023
188,8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B1,60.0,0,0.0,0,2023
189,8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B2,46.0,0,0.0,0,2023
190,8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B3,40.0,0,0.0,0,2023
191,8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B4,28.0,0,0.0,0,2023
192,8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B5,25.0,0,0.0,0,2023
193,8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B6,86.0,0,86.0,1,2023
194,8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B7,55.0,0,0.0,0,2023
195,8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B8,44.0,0,44.0,1,2023
196,8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B9,50.0,0,0.0,0,2023
197,8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B10,25.0,0,0.0,0,2023
198,8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B11,60.0,0,0.0,0,2023
199,8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B12,45.0,0,0.0,0,2023
200,8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B13,35.0,0,0.0,0,2023
201,8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B14,20.0,0,0.0,0,2023
202,8,谷子,山坡地,第一季,360.0,6.75,360.0,71400.0,C1,15.0,0,0.0,0,2023
203,8,谷子,山坡地,第一季,360.0,6.75,360.0,71400.0,C2,13.0,0,0.0,0,2023
204,8,谷子,山坡地,第一季,360.0,6.75,360.0,71400.0,C3,15.0,0,0.0,0,2023
205,8,谷子,山坡地,第一季,360.0,6.75,360.0,71400.0,C4,18.0,0,0.0,0,2023
206,8,谷子,山坡地,第一季,360.0,6.75,360.0,71400.0,C5,27.0,0,0.0,0,2023
207,8,谷子,山坡地,第一季,360.0,6.75,360.0,71400.0,C6,20.0,0,0.0,0,2023
208,9,高粱,平旱地,第一季,630.0,6.0,400.0,30000.0,A1,80.0,0,0.0,0,2023
209,9,高粱,平旱地,第一季,630.0,6.0,400.0,30000.0,A2,55.0,0,0.0,0,2023
210,9,高粱,平旱地,第一季,630.0,6.0,400.0,30000.0,A3,35.0,0,0.0,0,2023
211,9,高粱,平旱地,第一季,630.0,6.0,400.0,30000.0,A4,72.0,0,0.0,0,2023
212,9,高粱,平旱地,第一季,630.0,6.0,400.0,30000.0,A5,68.0,0,0.0,0,2023
213,9,高粱,平旱地,第一季,630.0,6.0,400.0,30000.0,A6,55.0,0,0.0,0,2023
214,9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B1,60.0,0,0.0,0,2023
215,9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B2,46.0,0,0.0,0,2023
216,9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B3,40.0,0,0.0,0,2023
217,9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B4,28.0,0,0.0,0,2023
218,9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B5,25.0,0,0.0,0,2023
219,9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B6,86.0,0,0.0,0,2023
220,9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B7,55.0,0,0.0,0,2023
221,9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B8,44.0,0,0.0,0,2023
222,9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B9,50.0,0,50.0,1,2023
223,9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B10,25.0,0,0.0,0,2023
224,9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B11,60.0,0,0.0,0,2023
225,9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B12,45.0,0,0.0,0,2023
226,9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B13,35.0,0,0.0,0,2023
227,9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B14,20.0,0,0.0,0,2023
228,9,高粱,山坡地,第一季,570.0,6.0,400.0,30000.0,C1,15.0,0,0.0,0,2023
229,9,高粱,山坡地,第一季,570.0,6.0,400.0,30000.0,C2,13.0,0,0.0,0,2023
230,9,高粱,山坡地,第一季,570.0,6.0,400.0,30000.0,C3,15.0,0,0.0,0,2023
231,9,高粱,山坡地,第一季,570.0,6.0,400.0,30000.0,C4,18.0,0,0.0,0,2023
232,9,高粱,山坡地,第一季,570.0,6.0,400.0,30000.0,C5,27.0,0,0.0,0,2023
233,9,高粱,山坡地,第一季,570.0,6.0,400.0,30000.0,C6,20.0,0,0.0,0,2023
234,10,黍子,平旱地,第一季,525.0,7.5,360.0,12500.0,A1,80.0,0,0.0,0,2023
235,10,黍子,平旱地,第一季,525.0,7.5,360.0,12500.0,A2,55.0,0,0.0,0,2023
236,10,黍子,平旱地,第一季,525.0,7.5,360.0,12500.0,A3,35.0,0,0.0,0,2023
237,10,黍子,平旱地,第一季,525.0,7.5,360.0,12500.0,A4,72.0,0,0.0,0,2023
238,10,黍子,平旱地,第一季,525.0,7.5,360.0,12500.0,A5,68.0,0,0.0,0,2023
239,10,黍子,平旱地,第一季,525.0,7.5,360.0,12500.0,A6,55.0,0,0.0,0,2023
240,10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B1,60.0,0,0.0,0,2023
241,10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B2,46.0,0,0.0,0,2023
242,10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B3,40.0,0,0.0,0,2023
243,10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B4,28.0,0,0.0,0,2023
244,10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B5,25.0,0,0.0,0,2023
245,10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B6,86.0,0,0.0,0,2023
246,10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B7,55.0,0,0.0,0,2023
247,10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B8,44.0,0,0.0,0,2023
248,10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B9,50.0,0,0.0,0,2023
249,10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B10,25.0,0,25.0,1,2023
250,10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B11,60.0,0,0.0,0,2023
251,10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B12,45.0,0,0.0,0,2023
252,10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B13,35.0,0,0.0,0,2023
253,10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B14,20.0,0,0.0,0,2023
254,10,黍子,山坡地,第一季,475.0,7.5,360.0,12500.0,C1,15.0,0,0.0,0,2023
255,10,黍子,山坡地,第一季,475.0,7.5,360.0,12500.0,C2,13.0,0,0.0,0,2023
256,10,黍子,山坡地,第一季,475.0,7.5,360.0,12500.0,C3,15.0,0,0.0,0,2023
257,10,黍子,山坡地,第一季,475.0,7.5,360.0,12500.0,C4,18.0,0,0.0,0,2023
258,10,黍子,山坡地,第一季,475.0,7.5,360.0,12500.0,C5,27.0,0,0.0,0,2023
259,10,黍子,山坡地,第一季,475.0,7.5,360.0,12500.0,C6,20.0,0,0.0,0,2023
260,11,荞麦,平旱地,第一季,110.0,40.0,350.0,1500.0,A1,80.0,0,0.0,0,2023
261,11,荞麦,平旱地,第一季,110.0,40.0,350.0,1500.0,A2,55.0,0,0.0,0,2023
262,11,荞麦,平旱地,第一季,110.0,40.0,350.0,1500.0,A3,35.0,0,0.0,0,2023
263,11,荞麦,平旱地,第一季,110.0,40.0,350.0,1500.0,A4,72.0,0,0.0,0,2023
264,11,荞麦,平旱地,第一季,110.0,40.0,350.0,1500.0,A5,68.0,0,0.0,0,2023
265,11,荞麦,平旱地,第一季,110.0,40.0,350.0,1500.0,A6,55.0,0,0.0,0,2023
