CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,MaritalStatus,AgeGroup,Gender,HourSpendOnApp,OrderCount,OrderAmountHikeFromlastYear,DaySinceLastOrder,PreferedOrderCat,NumberOfStreamerFollowed,SatisfactionScore,Complain,CouponUsed,DiscountAmount,R_Score,F_Score,M_Score,RFM_Score,UserSegment,PreferredLoginDevice_encoded,MaritalStatus_encoded,Gender_encoded,PreferedOrderCat_encoded,Cluster,ClusterName,ChurnProbability,RiskLevel
50015,1,9.0,Mobile Phone,3,15.0,Single,4,Male,3.0,4.0,16.0,7.0,Fashion,2,2,0,0.0,196.19,2,4,4,244,高价值用户,0,2,1,0,3,低价值用户,0.72,高风险
50016,1,9.0,Phone,2,12.0,Married,3,Male,3.0,1.0,22.0,2.0,Household,5,5,1,1.0,120.73,5,1,1,511,低价值用户,2,1,1,2,2,普通活跃用户,0.63,高风险
50017,1,3.0,Pad,1,12.0,Single,4,Female,3.0,1.0,18.0,0.0,Household,2,2,1,1.0,129.26,5,1,1,511,低价值用户,1,2,0,2,2,普通活跃用户,0.9,高风险
50018,1,3.0,Mobile Phone,3,11.0,Single,4,Male,2.0,1.0,11.0,3.0,Laptop & Accessory,2,3,1,1.0,157.44,4,1,3,413,低价值用户,0,2,1,3,1,新用户,0.61,高风险
50019,1,3.0,Pad,1,13.0,Single,5,Male,3.0,1.0,24.0,6.0,Laptop & Accessory,2,3,1,1.0,160.74,2,1,3,213,低价值用户,1,2,1,3,2,普通活跃用户,0.76,高风险
50020,1,19.0,Mobile Phone,1,20.0,Divorced,3,Female,3.0,4.0,18.0,3.0,Mobile Phone,10,4,1,1.0,149.63,4,4,2,442,普通用户,0,0,0,4,1,新用户,0.11,低风险
50021,1,3.0,Mobile Phone,3,12.0,Divorced,5,Male,3.0,7.0,18.0,7.0,Laptop & Accessory,5,3,1,6.0,161.72,2,5,3,253,中等价值用户,0,0,1,3,0,高价值忠诚用户,0.91,高风险
50022,1,23.0,Mobile Phone,1,29.0,Divorced,3,Female,3.0,15.0,12.0,6.0,Fashion,2,2,0,11.0,203.12,2,5,4,254,高价值用户,0,0,0,0,0,高价值忠诚用户,0.69,高风险
50023,1,9.0,Mobile Phone,3,28.0,Single,3,Male,2.0,1.0,19.0,0.0,Mobile Phone,2,3,1,0.0,116.75,5,1,1,511,低价值用户,0,2,1,4,1,新用户,0.93,高风险
50024,1,3.0,Phone,3,26.0,Divorced,5,Female,3.0,2.0,11.0,2.0,Laptop & Accessory,4,3,1,1.0,145.59,5,2,2,522,普通用户,2,0,0,3,2,普通活跃用户,0.33,中风险
50025,1,14.0,Pad,1,14.0,Single,5,Male,2.0,1.0,15.0,3.0,Fashion,3,2,0,0.0,206.5,4,1,4,414,低价值用户,1,2,1,0,3,低价值用户,0.83,高风险
50026,1,3.0,Phone,1,15.0,Single,3,Female,2.0,1.0,22.0,4.0,Mobile Phone,8,5,0,1.0,142.0,3,1,2,312,低价值用户,2,2,0,4,2,普通活跃用户,0.8,高风险
50027,0,8.0,Mobile Phone,3,6.0,Divorced,3,Male,3.0,1.0,13.0,6.0,Fashion,2,4,0,1.0,172.95,2,1,3,213,低价值用户,0,0,1,0,3,低价值用户,0.06,低风险
50028,0,9.0,Phone,3,12.0,Divorced,3,Male,2.0,4.0,20.0,5.0,Laptop & Accessory,3,3,1,0.0,123.06,2,4,1,241,普通用户,2,0,1,3,2,普通活跃用户,0.01,低风险
50029,0,18.0,Phone,1,14.0,Married,3,Male,2.0,1.0,18.0,15.0,Laptop & Accessory,9,4,0,1.0,123.48,1,1,1,111,低价值用户,2,1,1,3,2,普通活跃用户,0.0,低风险
50030,0,5.0,Pad,3,14.0,Single,3,Female,2.0,3.0,14.0,7.0,Fashion,2,2,0,2.0,189.98,2,4,4,244,高价值用户,1,2,0,0,3,低价值用户,0.12,低风险
50031,0,2.0,Pad,1,6.0,Divorced,3,Male,2.0,1.0,13.0,9.0,Laptop & Accessory,2,3,0,0.0,143.19,1,1,2,112,低价值用户,1,0,1,3,2,普通活跃用户,0.05,低风险
50032,0,3.0,Mobile Phone,1,13.0,Divorced,4,Male,2.0,1.0,17.0,0.0,Laptop & Accessory,3,3,0,1.0,161.32,5,1,3,513,低价值用户,0,0,1,3,2,普通活跃用户,0.48,中风险
50033,0,33.0,Phone,1,15.0,Divorced,4,Female,3.0,1.0,20.0,0.0,Household,5,4,1,1.0,133.46,5,1,1,511,低价值用户,2,0,0,2,2,普通活跃用户,0.01,低风险
50034,0,13.0,Mobile Phone,3,10.0,Divorced,4,Male,3.0,2.0,11.0,11.0,Fashion,8,2,0,2.0,208.55,1,2,4,124,普通用户,0,0,1,0,3,低价值用户,0.1,低风险
50035,0,9.0,Pad,3,8.0,Divorced,3,Female,3.0,1.0,18.0,2.0,Household,7,3,0,1.0,122.31,5,1,1,511,低价值用户,1,0,0,2,1,新用户,0.08,低风险
50036,0,3.0,Phone,1,14.0,Divorced,3,Male,3.0,2.0,24.0,2.0,Household,2,2,0,0.0,123.23,5,2,1,521,普通用户,2,0,1,2,2,普通活跃用户,0.14,低风险
50037,0,9.0,Pad,1,15.0,Married,3,Male,2.0,2.0,18.0,2.0,Household,7,4,0,0.0,120.24,5,2,1,521,普通用户,1,1,1,2,2,普通活跃用户,0.05,低风险
50038,0,1.0,Phone,1,27.0,Divorced,3,Male,3.0,1.0,11.0,2.0,Household,2,2,0,0.0,127.13,5,1,1,511,低价值用户,2,0,1,2,2,普通活跃用户,0.07,低风险
50039,0,33.0,Mobile Phone,1,30.0,Married,2,Male,2.0,1.0,16.0,4.0,Fashion,4,2,1,1.0,194.39,3,1,4,314,低价值用户,0,1,1,0,3,低价值用户,0.0,低风险
50040,0,3.0,Pad,1,14.0,Married,4,Male,3.0,1.0,15.0,1.0,Household,2,3,1,0.0,125.66,5,1,1,511,低价值用户,1,1,1,2,2,普通活跃用户,0.15,低风险
50041,0,23.0,Mobile Phone,1,17.0,Single,3,Female,2.0,4.0,15.0,4.0,Others,4,4,0,2.0,299.26,3,4,5,345,高价值用户,0,2,0,5,1,新用户,0.0,低风险
50042,0,14.0,Phone,1,14.0,Married,3,Male,2.0,1.0,12.0,8.0,Household,5,3,0,1.0,124.51,2,1,1,211,低价值用户,2,1,1,2,2,普通活跃用户,0.01,低风险
50043,0,3.0,Mobile Phone,3,11.0,Divorced,3,Female,2.0,7.0,12.0,4.0,Fashion,3,2,0,2.0,194.19,3,5,4,354,高价值用户,0,0,0,0,3,低价值用户,0.13,低风险
50044,0,11.0,Mobile Phone,3,6.0,Single,4,Female,2.0,1.0,22.0,1.0,Laptop & Accessory,5,2,0,1.0,186.86,5,1,4,514,低价值用户,0,2,0,3,1,新用户,0.06,低风险
50045,0,5.0,Phone,1,12.0,Single,3,Male,3.0,1.0,20.0,4.0,Household,4,3,0,0.0,130.38,3,1,1,311,低价值用户,2,2,1,2,2,普通活跃用户,0.1,低风险
50046,0,3.0,Phone,1,23.0,Divorced,3,Male,3.0,1.0,16.0,1.0,Household,1,4,1,1.0,130.58,5,1,1,511,低价值用户,2,0,1,2,2,普通活跃用户,0.34,中风险
50047,1,3.0,Pad,3,14.0,Single,5,Female,3.0,1.0,21.0,0.0,Household,1,5,0,1.0,123.25,5,1,1,511,低价值用户,1,2,0,2,2,普通活跃用户,0.95,高风险
50048,0,9.0,Pad,1,9.0,Single,3,Male,1.0,7.0,12.0,2.0,Household,5,4,0,4.0,120.88,5,5,1,551,普通用户,1,2,1,2,2,普通活跃用户,0.05,低风险
50049,0,3.0,Pad,1,15.0,Married,3,Male,3.0,6.0,11.0,10.0,Laptop & Accessory,2,5,0,0.0,130.72,1,5,1,151,普通用户,1,1,1,3,2,普通活跃用户,0.07,低风险
50050,0,18.0,Mobile Phone,3,10.0,Married,3,Female,1.0,1.0,11.0,3.0,Laptop & Accessory,5,5,1,0.0,150.06,4,1,2,412,低价值用户,0,1,0,3,1,新用户,0.0,低风险
50051,0,29.0,Phone,1,14.0,Married,3,Female,3.0,2.0,18.0,2.0,Mobile Phone,5,5,1,1.0,142.57,5,2,2,522,普通用户,2,1,0,4,2,普通活跃用户,0.01,低风险
50052,0,6.0,Phone,1,14.0,Single,3,Male,2.0,1.0,14.0,2.0,Household,1,2,0,0.0,125.0,5,1,1,511,低价值用户,2,2,1,2,2,普通活跃用户,0.05,低风险
50053,1,3.0,Mobile Phone,1,8.0,Single,4,Male,2.0,1.0,22.0,0.0,Mobile Phone,2,2,0,0.0,111.02,5,1,1,511,低价值用户,0,2,1,4,2,普通活跃用户,0.9,高风险
50054,0,19.0,Mobile Phone,3,6.0,Married,3,Female,3.0,15.0,25.0,7.0,Fashion,2,5,0,4.0,204.53,2,5,4,254,高价值用户,0,1,0,0,0,高价值忠诚用户,0.0,低风险
50055,0,9.0,Phone,1,15.0,Single,3,Female,3.0,2.0,12.0,1.0,Household,2,2,0,1.0,122.88,5,2,1,521,普通用户,2,2,0,2,2,普通活跃用户,0.04,低风险
50056,0,4.0,Phone,1,18.0,Divorced,3,Female,3.0,1.0,23.0,2.0,Mobile Phone,9,2,1,1.0,139.29,5,1,1,511,低价值用户,2,0,0,4,2,普通活跃用户,0.01,低风险
50057,0,9.0,Phone,1,33.0,Single,3,Female,3.0,1.0,15.0,2.0,Household,3,4,0,1.0,123.11,5,1,1,511,低价值用户,2,2,0,2,2,普通活跃用户,0.12,低风险
50058,1,4.0,Phone,3,26.0,Single,3,Female,3.0,1.0,22.0,2.0,Household,2,4,1,0.0,131.4,5,1,1,511,低价值用户,2,2,0,2,2,普通活跃用户,0.9,高风险
50059,0,23.0,Phone,1,6.0,Divorced,4,Male,2.0,1.0,15.0,2.0,Mobile Phone,3,3,0,0.0,136.9,5,1,1,511,低价值用户,2,0,1,4,2,普通活跃用户,0.0,低风险
50060,0,26.0,Phone,1,19.0,Married,2,Female,2.0,1.0,11.0,3.0,Laptop & Accessory,2,5,0,1.0,144.5,4,1,2,412,低价值用户,2,1,0,3,2,普通活跃用户,0.01,低风险
50061,0,6.0,Phone,1,20.0,Divorced,3,Female,3.0,1.0,13.0,6.0,Household,2,4,0,0.0,127.56,2,1,1,211,低价值用户,2,0,0,2,2,普通活跃用户,0.01,低风险
50062,0,13.0,Mobile Phone,1,10.0,Divorced,3,Female,2.0,9.0,14.0,9.0,Others,2,3,0,1.0,290.33,1,5,5,155,高价值用户,0,0,0,5,0,高价值忠诚用户,0.0,低风险
50063,0,28.0,Mobile Phone,1,20.0,Single,2,Male,3.0,2.0,11.0,15.0,Others,9,4,0,1.0,287.22,1,2,5,125,普通用户,0,2,1,5,1,新用户,0.06,低风险
50064,0,7.0,Pad,1,8.0,Divorced,4,Male,2.0,1.0,17.0,9.0,Laptop & Accessory,2,3,0,0.0,195.47,1,1,4,114,低价值用户,1,0,1,3,2,普通活跃用户,0.02,低风险
50065,0,24.0,Mobile Phone,1,9.0,Single,3,Female,3.0,2.0,18.0,0.0,Grocery,4,4,0,0.0,237.34,5,2,5,525,普通用户,0,2,0,1,3,低价值用户,0.01,低风险
50066,0,25.0,Mobile Phone,1,6.0,Divorced,4,Male,3.0,11.0,15.0,9.0,Others,1,3,0,1.0,299.99,1,5,5,155,高价值用户,0,0,1,5,0,高价值忠诚用户,0.0,低风险
50067,0,9.0,Phone,1,15.0,Single,3,Female,2.0,1.0,16.0,3.0,Household,2,4,0,1.0,122.79,4,1,1,411,低价值用户,2,2,0,2,2,普通活跃用户,0.04,低风险
50068,1,3.0,Mobile Phone,1,29.0,Divorced,4,Male,2.0,1.0,13.0,1.0,Laptop & Accessory,4,3,1,1.0,159.16,5,1,3,513,低价值用户,0,0,1,3,1,新用户,0.92,高风险
50069,0,9.0,Pad,1,13.0,Married,2,Male,2.0,2.0,14.0,2.0,Household,5,2,0,0.0,120.89,5,2,1,521,普通用户,1,1,1,2,2,普通活跃用户,0.07,低风险
50070,0,18.0,Pad,1,8.0,Divorced,4,Male,3.0,11.0,23.0,8.0,Grocery,10,2,0,1.0,267.92,2,5,5,255,高价值用户,1,0,1,1,0,高价值忠诚用户,0.06,低风险
50071,0,13.0,Phone,1,27.0,Divorced,2,Male,3.0,1.0,12.0,7.0,Mobile Phone,2,5,1,0.0,135.64,2,1,1,211,低价值用户,2,0,1,4,2,普通活跃用户,0.02,低风险
50072,0,8.0,Pad,1,8.0,Single,3,Female,2.0,1.0,11.0,2.0,Laptop & Accessory,6,4,0,1.0,144.25,5,1,2,512,低价值用户,1,2,0,3,2,普通活跃用户,0.03,低风险
50073,0,15.0,Pad,1,27.0,Married,3,Female,2.0,1.0,16.0,2.0,Laptop & Accessory,3,3,0,0.0,152.65,5,1,2,512,低价值用户,1,1,0,3,2,普通活跃用户,0.0,低风险
50074,0,11.0,Mobile Phone,1,8.0,Divorced,3,Male,2.0,1.0,14.0,0.0,Laptop & Accessory,10,3,0,0.0,165.53,5,1,3,513,低价值用户,0,0,1,3,1,新用户,0.05,低风险
50075,0,11.0,Mobile Phone,1,35.0,Divorced,3,Male,2.0,1.0,18.0,7.0,Laptop & Accessory,4,2,0,0.0,162.61,2,1,3,213,低价值用户,0,0,1,3,1,新用户,0.0,低风险
50076,0,3.0,Pad,1,6.0,Divorced,4,Male,2.0,2.0,19.0,0.0,Laptop & Accessory,6,5,0,0.0,142.98,5,2,2,522,普通用户,1,0,1,3,2,普通活跃用户,0.58,高风险
50077,0,22.0,Pad,1,24.0,Married,3,Male,3.0,1.0,15.0,7.0,Laptop & Accessory,2,2,1,0.0,168.04,2,1,3,213,低价值用户,1,1,1,3,1,新用户,0.0,低风险
50078,0,7.0,Pad,1,16.0,Married,3,Male,2.0,2.0,17.0,0.0,Mobile Phone,2,3,1,2.0,138.15,5,2,1,521,普通用户,1,1,1,4,2,普通活跃用户,0.0,低风险
50079,0,13.0,Phone,1,25.0,Divorced,3,Male,3.0,3.0,15.0,7.0,Laptop & Accessory,9,2,1,1.0,127.41,2,4,1,241,普通用户,2,0,1,3,2,普通活跃用户,0.0,低风险
50080,1,1.0,Mobile Phone,1,35.0,Divorced,3,Male,3.0,1.0,19.0,0.0,Laptop & Accessory,8,5,1,0.0,166.73,5,1,3,513,低价值用户,0,0,1,3,1,新用户,0.79,高风险
50081,1,3.0,Mobile Phone,3,33.0,Divorced,3,Female,2.0,1.0,22.0,9.0,Fashion,2,2,0,1.0,176.39,1,1,4,114,低价值用户,0,0,0,0,3,低价值用户,0.28,中风险
50082,0,3.0,Phone,1,14.0,Married,2,Male,2.0,2.0,16.0,2.0,Household,2,4,1,0.0,123.28,5,2,1,521,普通用户,2,1,1,2,2,普通活跃用户,0.1,低风险
50083,0,9.0,Pad,1,24.0,Single,3,Female,3.0,1.0,13.0,7.0,Household,2,2,0,1.0,121.53,2,1,1,211,低价值用户,1,2,0,2,2,普通活跃用户,0.04,低风险
50084,0,13.0,Pad,1,15.0,Divorced,4,Male,3.0,1.0,14.0,2.0,Laptop & Accessory,10,2,0,1.0,148.76,5,1,2,512,低价值用户,1,0,1,3,1,新用户,0.04,低风险
50085,0,19.0,Mobile Phone,1,6.0,Married,3,Male,3.0,1.0,16.0,3.0,Fashion,8,5,0,0.0,193.96,4,1,4,414,低价值用户,0,1,1,0,3,低价值用户,0.09,低风险
50086,1,3.0,Mobile Phone,3,10.0,Divorced,5,Male,2.0,9.0,11.0,8.0,Fashion,2,2,0,7.0,204.0,2,5,4,254,高价值用户,0,0,1,0,0,高价值忠诚用户,0.94,高风险
50087,0,3.0,Pad,1,6.0,Single,4,Male,2.0,5.0,22.0,8.0,Fashion,2,3,0,2.0,184.74,2,5,4,254,高价值用户,1,2,1,0,3,低价值用户,0.12,低风险
50088,0,3.0,Pad,3,26.0,Single,3,Female,2.0,1.0,14.0,7.0,Laptop & Accessory,2,3,0,1.0,199.81,2,1,4,214,低价值用户,1,2,0,3,2,普通活跃用户,0.1,低风险
50089,0,24.0,Mobile Phone,1,14.0,Divorced,4,Male,2.0,4.0,16.0,3.0,Fashion,6,4,0,1.0,224.9,4,4,5,445,高价值用户,0,0,1,0,3,低价值用户,0.1,低风险
50090,1,3.0,Phone,1,14.0,Single,3,Female,2.0,1.0,11.0,4.0,Household,6,5,1,1.0,126.57,3,1,1,311,低价值用户,2,2,0,2,2,普通活跃用户,0.91,高风险
50091,0,14.0,Mobile Phone,3,12.0,Single,3,Female,3.0,2.0,18.0,0.0,Fashion,4,2,1,0.0,235.91000000000005,5,2,5,525,普通用户,0,2,0,0,3,低价值用户,0.02,低风险
50092,1,3.0,Pad,3,32.0,Single,4,Female,2.0,1.0,15.0,1.0,Laptop & Accessory,6,5,0,0.0,166.96,5,1,3,513,低价值用户,1,2,0,3,2,普通活跃用户,0.88,高风险
50093,1,9.0,Phone,1,6.0,Single,3,Male,2.0,1.0,14.0,5.0,Household,1,3,0,0.0,120.58,2,1,1,211,低价值用户,2,2,1,2,2,普通活跃用户,0.7,高风险
50094,0,18.0,Pad,3,12.0,Single,4,Female,2.0,12.0,12.0,8.0,Fashion,7,2,0,12.0,188.65,2,5,4,254,高价值用户,1,2,0,0,0,高价值忠诚用户,0.07,低风险
50095,0,27.0,Mobile Phone,3,9.0,Divorced,3,Female,2.0,1.0,14.0,5.0,Laptop & Accessory,3,5,0,1.0,159.4,2,1,3,213,低价值用户,0,0,0,3,1,新用户,0.0,低风险
50096,0,9.0,Mobile Phone,1,11.0,Single,3,Male,3.0,3.0,16.0,7.0,Laptop & Accessory,9,4,0,0.0,159.14,2,4,3,243,中等价值用户,0,2,1,3,1,新用户,0.01,低风险
50097,0,6.0,Phone,1,14.0,Divorced,4,Female,2.0,1.0,21.0,1.0,Household,7,4,0,0.0,126.22,5,1,1,511,低价值用户,2,0,0,2,2,普通活跃用户,0.16,低风险
50098,0,13.0,Pad,1,17.0,Married,3,Male,2.0,1.0,14.0,3.0,Fashion,2,2,1,0.0,221.85,4,1,5,415,低价值用户,1,1,1,0,3,低价值用户,0.0,低风险
50099,0,11.0,Mobile Phone,3,9.0,Married,3,Male,3.0,5.0,12.0,13.0,Fashion,1,3,0,1.0,206.09,1,5,4,154,高价值用户,0,1,1,0,3,低价值用户,0.0,低风险
50100,0,4.0,Pad,1,6.0,Divorced,5,Male,2.0,1.0,12.0,4.0,Laptop & Accessory,1,3,0,1.0,143.45,3,1,2,312,低价值用户,1,0,1,3,2,普通活跃用户,0.03,低风险
50101,0,9.0,Phone,1,9.0,Divorced,4,Male,3.0,1.0,17.0,0.0,Household,4,2,0,0.0,121.77,5,1,1,511,低价值用户,2,0,1,2,2,普通活跃用户,0.13,低风险
50102,0,13.0,Pad,3,10.0,Married,3,Male,2.0,5.0,17.0,8.0,Mobile Phone,5,2,0,1.0,0.0,2,5,1,251,普通用户,1,1,1,4,2,普通活跃用户,0.19,低风险
50103,0,2.0,Pad,3,6.0,Divorced,3,Female,2.0,4.0,14.0,1.0,Fashion,2,2,0,4.0,179.18,5,4,4,544,高价值用户,1,0,0,0,3,低价值用户,0.18,低风险
50104,0,8.0,Pad,3,6.0,Single,3,Female,3.0,1.0,14.0,8.0,Fashion,2,3,0,1.0,187.89,2,1,4,214,低价值用户,1,2,0,0,3,低价值用户,0.03,低风险
50105,1,3.0,Phone,1,14.0,Single,4,Male,2.0,1.0,13.0,1.0,Household,2,2,1,0.0,123.89,5,1,1,511,低价值用户,2,2,1,2,2,普通活跃用户,0.94,高风险
50106,0,25.0,Phone,1,8.0,Single,4,Female,2.0,2.0,15.0,2.0,Household,8,2,0,0.0,132.12,5,2,1,521,普通用户,2,2,0,2,2,普通活跃用户,0.01,低风险
50107,0,15.0,Mobile Phone,1,10.0,Divorced,3,Male,2.0,11.0,15.0,15.0,Others,2,2,0,0.0,292.32,1,5,5,155,高价值用户,0,0,1,5,0,高价值忠诚用户,0.03,低风险
50108,0,9.0,Phone,2,12.0,Divorced,3,Male,2.0,2.0,17.0,2.0,Household,9,3,0,2.0,122.67,5,2,1,521,普通用户,2,0,1,2,2,普通活跃用户,0.1,低风险
50109,0,23.0,Mobile Phone,3,6.0,Married,3,Female,3.0,1.0,15.0,6.0,Others,4,2,0,1.0,295.17,2,1,5,215,低价值用户,0,1,0,5,1,新用户,0.01,低风险
50110,1,3.0,Phone,1,14.0,Divorced,3,Male,2.0,1.0,13.0,4.0,Household,6,2,1,0.0,124.36,3,1,1,311,低价值用户,2,0,1,2,2,普通活跃用户,0.81,高风险
50111,0,16.0,Mobile Phone,3,22.0,Divorced,3,Female,3.0,2.0,22.0,9.0,Grocery,6,2,1,0.0,260.64,1,2,5,125,普通用户,0,0,0,1,3,低价值用户,0.1,低风险
50112,1,3.0,Phone,1,8.0,Divorced,3,Female,3.0,1.0,20.0,7.0,Household,8,5,0,1.0,127.07,2,1,1,211,低价值用户,2,0,0,2,2,普通活跃用户,0.87,高风险
50113,0,25.0,Pad,3,8.0,Single,4,Male,3.0,15.0,18.0,12.0,Others,2,3,1,1.0,290.68,1,5,5,155,高价值用户,1,2,1,5,0,高价值忠诚用户,0.03,低风险
50114,0,5.0,Phone,3,10.0,Divorced,3,Female,2.0,1.0,11.0,2.0,Mobile Phone,3,4,0,1.0,139.31,5,1,1,511,低价值用户,2,0,0,4,2,普通活跃用户,0.02,低风险
50115,1,3.0,Phone,1,6.0,Single,4,Male,3.0,1.0,14.0,2.0,Mobile Phone,1,3,1,1.0,137.3,5,1,1,511,低价值用户,2,2,1,4,2,普通活跃用户,0.84,高风险
50116,0,9.0,Phone,1,6.0,Married,3,Female,3.0,1.0,14.0,2.0,Household,8,3,0,0.0,122.32,5,1,1,511,低价值用户,2,1,0,2,2,普通活跃用户,0.02,低风险
50117,0,5.0,Pad,3,32.0,Divorced,3,Male,3.0,2.0,18.0,2.0,Laptop & Accessory,1,2,0,1.0,144.65,5,2,2,522,普通用户,1,0,1,3,2,普通活跃用户,0.02,低风险
50118,0,14.0,Phone,1,25.0,Married,3,Male,3.0,1.0,16.0,0.0,Laptop & Accessory,3,5,0,1.0,130.72,5,1,1,511,低价值用户,2,1,1,3,2,普通活跃用户,0.01,低风险
50119,0,13.0,Phone,1,30.0,Married,3,Male,3.0,4.0,17.0,7.0,Laptop & Accessory,2,2,0,2.0,133.19,2,4,1,241,普通用户,2,1,1,3,2,普通活跃用户,0.0,低风险
50120,0,18.0,Mobile Phone,1,6.0,Divorced,2,Male,3.0,1.0,15.0,7.0,Others,1,2,0,1.0,292.02,2,1,5,215,低价值用户,0,0,1,5,1,新用户,0.0,低风险
50121,0,4.0,Pad,1,9.0,Married,3,Male,3.0,2.0,12.0,2.0,Fashion,10,3,0,1.0,236.75,5,2,5,525,普通用户,1,1,1,0,3,低价值用户,0.03,低风险
50122,0,6.0,Phone,1,11.0,Divorced,4,Female,3.0,1.0,13.0,2.0,Household,2,2,0,0.0,129.11,5,1,1,511,低价值用户,2,0,0,2,2,普通活跃用户,0.02,低风险
50123,0,7.0,Mobile Phone,1,8.0,Divorced,4,Male,2.0,5.0,13.0,9.0,Laptop & Accessory,7,5,0,0.0,159.57,1,5,3,153,中等价值用户,0,0,1,3,1,新用户,0.03,低风险
50124,0,13.0,Phone,1,6.0,Divorced,4,Female,2.0,1.0,14.0,2.0,Mobile Phone,3,5,0,1.0,139.2,5,1,1,511,低价值用户,2,0,0,4,2,普通活跃用户,0.0,低风险
50125,0,18.0,Pad,1,13.0,Divorced,2,Male,3.0,1.0,17.0,2.0,Laptop & Accessory,5,3,0,0.0,164.34,5,1,3,513,低价值用户,1,0,1,3,2,普通活跃用户,0.0,低风险
50126,1,3.0,Pad,1,16.0,Married,3,Male,3.0,1.0,11.0,0.0,Fashion,7,3,0,1.0,200.48,5,1,4,514,低价值用户,1,1,1,0,3,低价值用户,0.82,高风险
50127,0,12.0,Pad,1,8.0,Single,3,Female,3.0,11.0,25.0,3.0,Fashion,1,3,0,10.0,209.38,4,5,5,455,高价值用户,1,2,0,0,0,高价值忠诚用户,0.01,低风险
50128,0,2.0,Phone,1,14.0,Single,3,Male,2.0,1.0,19.0,5.0,Household,2,2,0,0.0,123.4,2,1,1,211,低价值用户,2,2,1,2,2,普通活跃用户,0.13,低风险
50129,0,15.0,Mobile Phone,1,23.0,Single,2,Female,2.0,1.0,13.0,2.0,Laptop & Accessory,4,5,1,0.0,165.45,5,1,3,513,低价值用户,0,2,0,3,1,新用户,0.01,低风险
