作物编号,作物名称,地块类型,种植季次,亩产量/斤,销售单价平均值/(元/斤),种植成本/(元/亩),预期销售量/斤,地块名称,地块面积/亩,豆类
6,小麦,平旱地,第一季,800.0,3.5,450.0,170840.0,A2,55.0,0
6,小麦,平旱地,第一季,800.0,3.5,450.0,170840.0,A3,35.0,0
6,小麦,平旱地,第一季,800.0,3.5,450.0,170840.0,A4,72.0,0
6,小麦,平旱地,第一季,800.0,3.5,450.0,170840.0,A5,68.0,0
6,小麦,平旱地,第一季,800.0,3.5,450.0,170840.0,A6,55.0,0
6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B1,60.0,0
6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B2,46.0,0
6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B3,40.0,0
6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B4,28.0,0
6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B5,25.0,0
6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B6,86.0,0
6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B7,55.0,0
6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B8,44.0,0
6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B9,50.0,0
6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B10,25.0,0
6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B11,60.0,0
6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B12,45.0,0
6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B13,35.0,0
6,小麦,梯田,第一季,760.0,3.5,450.0,170840.0,B14,20.0,0
6,小麦,山坡地,第一季,720.0,3.5,450.0,170840.0,C1,15.0,0
6,小麦,山坡地,第一季,720.0,3.5,450.0,170840.0,C2,13.0,0
6,小麦,山坡地,第一季,720.0,3.5,450.0,170840.0,C3,15.0,0
6,小麦,山坡地,第一季,720.0,3.5,450.0,170840.0,C4,18.0,0
6,小麦,山坡地,第一季,720.0,3.5,450.0,170840.0,C5,27.0,0
6,小麦,山坡地,第一季,720.0,3.5,450.0,170840.0,C6,20.0,0
7,玉米,平旱地,第一季,1000.0,3.0,500.0,132750.0,A1,80.0,0
7,玉米,平旱地,第一季,1000.0,3.0,500.0,132750.0,A2,55.0,0
7,玉米,平旱地,第一季,1000.0,3.0,500.0,132750.0,A3,35.0,0
7,玉米,平旱地,第一季,1000.0,3.0,500.0,132750.0,A4,72.0,0
7,玉米,平旱地,第一季,1000.0,3.0,500.0,132750.0,A5,68.0,0
7,玉米,平旱地,第一季,1000.0,3.0,500.0,132750.0,A6,55.0,0
7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B1,60.0,0
7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B2,46.0,0
7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B3,40.0,0
7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B4,28.0,0
7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B5,25.0,0
7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B6,86.0,0
7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B7,55.0,0
7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B8,44.0,0
7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B9,50.0,0
7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B10,25.0,0
7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B11,60.0,0
7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B12,45.0,0
7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B13,35.0,0
7,玉米,梯田,第一季,950.0,3.0,500.0,132750.0,B14,20.0,0
7,玉米,山坡地,第一季,900.0,3.0,500.0,132750.0,C1,15.0,0
7,玉米,山坡地,第一季,900.0,3.0,500.0,132750.0,C2,13.0,0
7,玉米,山坡地,第一季,900.0,3.0,500.0,132750.0,C3,15.0,0
7,玉米,山坡地,第一季,900.0,3.0,500.0,132750.0,C4,18.0,0
7,玉米,山坡地,第一季,900.0,3.0,500.0,132750.0,C5,27.0,0
7,玉米,山坡地,第一季,900.0,3.0,500.0,132750.0,C6,20.0,0
8,谷子,平旱地,第一季,400.0,6.75,360.0,71400.0,A1,80.0,0
8,谷子,平旱地,第一季,400.0,6.75,360.0,71400.0,A2,55.0,0
8,谷子,平旱地,第一季,400.0,6.75,360.0,71400.0,A3,35.0,0
8,谷子,平旱地,第一季,400.0,6.75,360.0,71400.0,A4,72.0,0
8,谷子,平旱地,第一季,400.0,6.75,360.0,71400.0,A5,68.0,0
8,谷子,平旱地,第一季,400.0,6.75,360.0,71400.0,A6,55.0,0
8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B1,60.0,0
8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B2,46.0,0
8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B3,40.0,0
8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B4,28.0,0
8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B5,25.0,0
8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B6,86.0,0
8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B7,55.0,0
8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B8,44.0,0
8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B9,50.0,0
8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B10,25.0,0
8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B11,60.0,0
8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B12,45.0,0
8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B13,35.0,0
8,谷子,梯田,第一季,380.0,6.75,360.0,71400.0,B14,20.0,0
8,谷子,山坡地,第一季,360.0,6.75,360.0,71400.0,C1,15.0,0
8,谷子,山坡地,第一季,360.0,6.75,360.0,71400.0,C2,13.0,0
8,谷子,山坡地,第一季,360.0,6.75,360.0,71400.0,C3,15.0,0
8,谷子,山坡地,第一季,360.0,6.75,360.0,71400.0,C4,18.0,0
8,谷子,山坡地,第一季,360.0,6.75,360.0,71400.0,C5,27.0,0
8,谷子,山坡地,第一季,360.0,6.75,360.0,71400.0,C6,20.0,0
9,高粱,平旱地,第一季,630.0,6.0,400.0,30000.0,A1,80.0,0
9,高粱,平旱地,第一季,630.0,6.0,400.0,30000.0,A2,55.0,0
9,高粱,平旱地,第一季,630.0,6.0,400.0,30000.0,A3,35.0,0
9,高粱,平旱地,第一季,630.0,6.0,400.0,30000.0,A4,72.0,0
9,高粱,平旱地,第一季,630.0,6.0,400.0,30000.0,A5,68.0,0
9,高粱,平旱地,第一季,630.0,6.0,400.0,30000.0,A6,55.0,0
9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B1,60.0,0
9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B2,46.0,0
9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B3,40.0,0
9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B4,28.0,0
9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B5,25.0,0
9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B6,86.0,0
9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B7,55.0,0
9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B8,44.0,0
9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B9,50.0,0
9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B10,25.0,0
9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B11,60.0,0
9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B12,45.0,0
9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B13,35.0,0
9,高粱,梯田,第一季,600.0,6.0,400.0,30000.0,B14,20.0,0
9,高粱,山坡地,第一季,570.0,6.0,400.0,30000.0,C1,15.0,0
9,高粱,山坡地,第一季,570.0,6.0,400.0,30000.0,C2,13.0,0
9,高粱,山坡地,第一季,570.0,6.0,400.0,30000.0,C3,15.0,0
9,高粱,山坡地,第一季,570.0,6.0,400.0,30000.0,C4,18.0,0
9,高粱,山坡地,第一季,570.0,6.0,400.0,30000.0,C5,27.0,0
9,高粱,山坡地,第一季,570.0,6.0,400.0,30000.0,C6,20.0,0
10,黍子,平旱地,第一季,525.0,7.5,360.0,12500.0,A1,80.0,0
10,黍子,平旱地,第一季,525.0,7.5,360.0,12500.0,A2,55.0,0
10,黍子,平旱地,第一季,525.0,7.5,360.0,12500.0,A3,35.0,0
10,黍子,平旱地,第一季,525.0,7.5,360.0,12500.0,A4,72.0,0
10,黍子,平旱地,第一季,525.0,7.5,360.0,12500.0,A5,68.0,0
10,黍子,平旱地,第一季,525.0,7.5,360.0,12500.0,A6,55.0,0
10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B1,60.0,0
10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B2,46.0,0
10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B3,40.0,0
10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B4,28.0,0
10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B5,25.0,0
10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B6,86.0,0
10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B7,55.0,0
10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B8,44.0,0
10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B9,50.0,0
10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B10,25.0,0
10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B11,60.0,0
10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B12,45.0,0
10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B13,35.0,0
10,黍子,梯田,第一季,500.0,7.5,360.0,12500.0,B14,20.0,0
10,黍子,山坡地,第一季,475.0,7.5,360.0,12500.0,C1,15.0,0
10,黍子,山坡地,第一季,475.0,7.5,360.0,12500.0,C2,13.0,0
10,黍子,山坡地,第一季,475.0,7.5,360.0,12500.0,C3,15.0,0
10,黍子,山坡地,第一季,475.0,7.5,360.0,12500.0,C4,18.0,0
10,黍子,山坡地,第一季,475.0,7.5,360.0,12500.0,C5,27.0,0
10,黍子,山坡地,第一季,475.0,7.5,360.0,12500.0,C6,20.0,0
11,荞麦,平旱地,第一季,110.0,40.0,350.0,1500.0,A1,80.0,0
11,荞麦,平旱地,第一季,110.0,40.0,350.0,1500.0,A2,55.0,0
11,荞麦,平旱地,第一季,110.0,40.0,350.0,1500.0,A3,35.0,0
11,荞麦,平旱地,第一季,110.0,40.0,350.0,1500.0,A4,72.0,0
11,荞麦,平旱地,第一季,110.0,40.0,350.0,1500.0,A5,68.0,0
11,荞麦,平旱地,第一季,110.0,40.0,350.0,1500.0,A6,55.0,0
11,荞麦,梯田,第一季,105.0,40.0,350.0,1500.0,B1,60.0,0
11,荞麦,梯田,第一季,105.0,40.0,350.0,1500.0,B2,46.0,0
11,荞麦,梯田,第一季,105.0,40.0,350.0,1500.0,B3,40.0,0
11,荞麦,梯田,第一季,105.0,40.0,350.0,1500.0,B4,28.0,0
11,荞麦,梯田,第一季,105.0,40.0,350.0,1500.0,B5,25.0,0
11,荞麦,梯田,第一季,105.0,40.0,350.0,1500.0,B6,86.0,0
11,荞麦,梯田,第一季,105.0,40.0,350.0,1500.0,B7,55.0,0
11,荞麦,梯田,第一季,105.0,40.0,350.0,1500.0,B8,44.0,0
11,荞麦,梯田,第一季,105.0,40.0,350.0,1500.0,B9,50.0,0
11,荞麦,梯田,第一季,105.0,40.0,350.0,1500.0,B10,25.0,0
11,荞麦,梯田,第一季,105.0,40.0,350.0,1500.0,B11,60.0,0
11,荞麦,梯田,第一季,105.0,40.0,350.0,1500.0,B12,45.0,0
11,荞麦,梯田,第一季,105.0,40.0,350.0,1500.0,B13,35.0,0
11,荞麦,梯田,第一季,105.0,40.0,350.0,1500.0,B14,20.0,0
11,荞麦,山坡地,第一季,100.0,40.0,350.0,1500.0,C1,15.0,0
11,荞麦,山坡地,第一季,100.0,40.0,350.0,1500.0,C2,13.0,0
11,荞麦,山坡地,第一季,100.0,40.0,350.0,1500.0,C3,15.0,0
11,荞麦,山坡地,第一季,100.0,40.0,350.0,1500.0,C4,18.0,0
11,荞麦,山坡地,第一季,100.0,40.0,350.0,1500.0,C5,27.0,0
11,荞麦,山坡地,第一季,100.0,40.0,350.0,1500.0,C6,20.0,0
12,南瓜,平旱地,第一季,3000.0,1.5,1000.0,35100.0,A1,80.0,0
12,南瓜,平旱地,第一季,3000.0,1.5,1000.0,35100.0,A2,55.0,0
12,南瓜,平旱地,第一季,3000.0,1.5,1000.0,35100.0,A3,35.0,0
12,南瓜,平旱地,第一季,3000.0,1.5,1000.0,35100.0,A4,72.0,0
12,南瓜,平旱地,第一季,3000.0,1.5,1000.0,35100.0,A5,68.0,0
12,南瓜,平旱地,第一季,3000.0,1.5,1000.0,35100.0,A6,55.0,0
12,南瓜,梯田,第一季,2850.0,1.5,1000.0,35100.0,B1,60.0,0
12,南瓜,梯田,第一季,2850.0,1.5,1000.0,35100.0,B2,46.0,0
12,南瓜,梯田,第一季,2850.0,1.5,1000.0,35100.0,B3,40.0,0
12,南瓜,梯田,第一季,2850.0,1.5,1000.0,35100.0,B4,28.0,0
12,南瓜,梯田,第一季,2850.0,1.5,1000.0,35100.0,B5,25.0,0
12,南瓜,梯田,第一季,2850.0,1.5,1000.0,35100.0,B6,86.0,0
12,南瓜,梯田,第一季,2850.0,1.5,1000.0,35100.0,B7,55.0,0
12,南瓜,梯田,第一季,2850.0,1.5,1000.0,35100.0,B8,44.0,0
12,南瓜,梯田,第一季,2850.0,1.5,1000.0,35100.0,B9,50.0,0
12,南瓜,梯田,第一季,2850.0,1.5,1000.0,35100.0,B10,25.0,0
12,南瓜,梯田,第一季,2850.0,1.5,1000.0,35100.0,B11,60.0,0
12,南瓜,梯田,第一季,2850.0,1.5,1000.0,35100.0,B12,45.0,0
12,南瓜,梯田,第一季,2850.0,1.5,1000.0,35100.0,B13,35.0,0
12,南瓜,梯田,第一季,2850.0,1.5,1000.0,35100.0,B14,20.0,0
12,南瓜,山坡地,第一季,2700.0,1.5,1000.0,35100.0,C1,15.0,0
12,南瓜,山坡地,第一季,2700.0,1.5,1000.0,35100.0,C2,13.0,0
12,南瓜,山坡地,第一季,2700.0,1.5,1000.0,35100.0,C3,15.0,0
12,南瓜,山坡地,第一季,2700.0,1.5,1000.0,35100.0,C4,18.0,0
12,南瓜,山坡地,第一季,2700.0,1.5,1000.0,35100.0,C5,27.0,0
12,南瓜,山坡地,第一季,2700.0,1.5,1000.0,35100.0,C6,20.0,0
13,红薯,平旱地,第一季,2200.0,3.25,2000.0,36000.0,A1,80.0,0
13,红薯,平旱地,第一季,2200.0,3.25,2000.0,36000.0,A2,55.0,0
13,红薯,平旱地,第一季,2200.0,3.25,2000.0,36000.0,A3,35.0,0
13,红薯,平旱地,第一季,2200.0,3.25,2000.0,36000.0,A4,72.0,0
13,红薯,平旱地,第一季,2200.0,3.25,2000.0,36000.0,A5,68.0,0
13,红薯,平旱地,第一季,2200.0,3.25,2000.0,36000.0,A6,55.0,0
13,红薯,梯田,第一季,2100.0,3.25,2000.0,36000.0,B1,60.0,0
13,红薯,梯田,第一季,2100.0,3.25,2000.0,36000.0,B2,46.0,0
13,红薯,梯田,第一季,2100.0,3.25,2000.0,36000.0,B3,40.0,0
13,红薯,梯田,第一季,2100.0,3.25,2000.0,36000.0,B4,28.0,0
13,红薯,梯田,第一季,2100.0,3.25,2000.0,36000.0,B5,25.0,0
13,红薯,梯田,第一季,2100.0,3.25,2000.0,36000.0,B6,86.0,0
13,红薯,梯田,第一季,2100.0,3.25,2000.0,36000.0,B7,55.0,0
13,红薯,梯田,第一季,2100.0,3.25,2000.0,36000.0,B8,44.0,0
13,红薯,梯田,第一季,2100.0,3.25,2000.0,36000.0,B9,50.0,0
13,红薯,梯田,第一季,2100.0,3.25,2000.0,36000.0,B10,25.0,0
13,红薯,梯田,第一季,2100.0,3.25,2000.0,36000.0,B11,60.0,0
13,红薯,梯田,第一季,2100.0,3.25,2000.0,36000.0,B12,45.0,0
13,红薯,梯田,第一季,2100.0,3.25,2000.0,36000.0,B13,35.0,0
13,红薯,梯田,第一季,2100.0,3.25,2000.0,36000.0,B14,20.0,0
13,红薯,山坡地,第一季,2000.0,3.25,2000.0,36000.0,C1,15.0,0
13,红薯,山坡地,第一季,2000.0,3.25,2000.0,36000.0,C2,13.0,0
13,红薯,山坡地,第一季,2000.0,3.25,2000.0,36000.0,C3,15.0,0
