方案,亩产量/斤,销售单价平均值/(元/斤),种植成本/(元/亩),预期销售量/斤
342,420,5.5,400,14000
343,420,5.5,400,14000
344,420,5.5,400,14000
345,400,5.5,400,14000
346,400,5.5,400,14000
347,400,5.5,400,14000
348,400,5.5,400,14000
349,400,5.5,400,14000
350,400,5.5,400,14000
351,400,5.5,400,14000
352,400,5.5,400,14000
353,400,5.5,400,14000
354,400,5.5,400,14000
355,400,5.5,400,14000
356,400,5.5,400,14000
357,400,5.5,400,14000
358,400,5.5,400,14000
359,380,5.5,400,14000
360,380,5.5,400,14000
361,380,5.5,400,14000
362,380,5.5,400,14000
363,380,5.5,400,14000
364,380,5.5,400,14000
365,525,3.5,350,10000
366,525,3.5,350,10000
367,525,3.5,350,10000
368,525,3.5,350,10000
369,525,3.5,350,10000
370,525,3.5,350,10000
371,500,3.5,350,10000
372,500,3.5,350,10000
373,500,3.5,350,10000
374,500,3.5,350,10000
375,500,3.5,350,10000
376,500,3.5,350,10000
377,500,3.5,350,10000
378,500,3.5,350,10000
379,500,3.5,350,10000
380,500,3.5,350,10000
381,500,3.5,350,10000
382,500,3.5,350,10000
383,500,3.5,350,10000
384,500,3.5,350,10000
385,475,3.5,350,10000
386,475,3.5,350,10000
387,475,3.5,350,10000
388,475,3.5,350,10000
389,475,3.5,350,10000
390,475,3.5,350,10000
391,500,7,680,21000
392,500,7,680,21000
393,500,7,680,21000
394,500,7,680,21000
395,500,7,680,21000
396,500,7,680,21000
397,500,7,680,21000
398,500,7,680,21000
399,3000,8,2400,36480
400,3000,8,2400,36480
401,3000,8,2400,36480
402,3000,8,2400,36480
403,3000,8,2400,36480
404,3000,8,2400,36480
405,3000,8,2400,36480
406,3000,8,2400,36480
407,3600,8,2400,36480
408,3600,8,2400,36480
409,3600,8,2400,36480
410,3600,8,2400,36480
411,3600,8,2400,36480
412,3600,8,2400,36480
413,3600,8,2400,36480
414,3600,8,2400,36480
415,3600,8,2400,36480
416,3600,8,2400,36480
417,3600,8,2400,36480
418,3600,8,2400,36480
419,3600,8,2400,36480
420,3600,8,2400,36480
421,3600,8,2400,36480
422,3600,8,2400,36480
423,3600,8,2400,36480
424,3600,8,2400,36480
425,3600,8,2400,36480
426,3600,8,2400,36480
427,2000,6.75,1200,26880
428,2000,6.75,1200,26880
429,2000,6.75,1200,26880
430,2000,6.75,1200,26880
431,2000,6.75,1200,26880
432,2000,6.75,1200,26880
433,2000,6.75,1200,26880
434,2000,6.75,1200,26880
435,2400,6.75,1200,26880
436,2400,6.75,1200,26880
437,2400,6.75,1200,26880
438,2400,6.75,1200,26880
439,2400,6.75,1200,26880
440,2400,6.75,1200,26880
441,2400,6.75,1200,26880
442,2400,6.75,1200,26880
443,2400,6.75,1200,26880
444,2400,6.75,1200,26880
445,2400,6.75,1200,26880
446,2400,6.75,1200,26880
447,2400,6.75,1200,26880
448,2400,6.75,1200,26880
449,2400,6.75,1200,26880
450,2400,6.75,1200,26880
451,2400,6.75,1200,26880
452,2400,6.75,1200,26880
453,2400,6.75,1200,26880
454,2400,6.75,1200,26880
455,3000,6.5,2400,6480
456,3000,6.5,2400,6480
457,3000,6.5,2400,6480
458,3000,6.5,2400,6480
459,3000,6.5,2400,6480
460,3000,6.5,2400,6480
461,3000,6.5,2400,6480
462,3000,6.5,2400,6480
463,3600,6.5,2400,6480
464,3600,6.5,2400,6480
465,3600,6.5,2400,6480
466,3600,6.5,2400,6480
467,3600,6.5,2400,6480
468,3600,6.5,2400,6480
469,3600,6.5,2400,6480
470,3600,6.5,2400,6480
471,3600,6.5,2400,6480
472,3600,6.5,2400,6480
473,3600,6.5,2400,6480
474,3600,6.5,2400,6480
475,3600,6.5,2400,6480
476,3600,6.5,2400,6480
477,3600,6.5,2400,6480
478,3600,6.5,2400,6480
479,3600,6.5,2400,6480
480,3600,6.5,2400,6480
481,3600,6.5,2400,6480
482,3600,6.5,2400,6480
483,2000,3.75,2000,30000
484,2000,3.75,2000,30000
485,2000,3.75,2000,30000
486,2000,3.75,2000,30000
487,2000,3.75,2000,30000
488,2000,3.75,2000,30000
489,2000,3.75,2000,30000
490,2000,3.75,2000,30000
491,2400,3.75,2000,30000
492,2400,3.75,2000,30000
493,2400,3.75,2000,30000
494,2400,3.75,2000,30000
495,2400,3.75,2000,30000
496,2400,3.75,2000,30000
497,2400,3.75,2000,30000
498,2400,3.75,2000,30000
499,2400,3.75,2000,30000
500,2400,3.75,2000,30000
501,2400,3.75,2000,30000
502,2400,3.75,2000,30000
503,2400,3.75,2000,30000
504,2400,3.75,2000,30000
505,2400,3.75,2000,30000
506,2400,3.75,2000,30000
507,2400,3.75,2000,30000
508,2400,3.75,2000,30000
509,2400,3.75,2000,30000
510,2400,3.75,2000,30000
511,2400,6.25,2400,35400
512,2400,6.25,2400,35400
513,2400,6.25,2400,35400
514,2400,6.25,2400,35400
515,2400,6.25,2400,35400
516,2400,6.25,2400,35400
517,2400,6.25,2400,35400
518,2400,6.25,2400,35400
519,3000,6.25,2400,35400
520,3000,6.25,2400,35400
521,3000,6.25,2400,35400
522,3000,6.25,2400,35400
523,3000,6.25,2400,35400
524,3000,6.25,2400,35400
525,3000,6.25,2400,35400
526,3000,6.25,2400,35400
527,3000,6.25,2400,35400
528,3000,6.25,2400,35400
529,3000,6.25,2400,35400
530,3000,6.25,2400,35400
531,3000,6.25,2400,35400
532,3000,6.25,2400,35400
533,3000,6.25,2400,35400
534,3000,6.25,2400,35400
535,3000,6.25,2400,35400
536,3000,6.25,2400,35400
537,3000,6.25,2400,35400
538,3000,6.25,2400,35400
539,2700,7.5,2640,810
540,2700,7.5,2640,810
541,2700,7.5,2640,810
542,2700,7.5,2640,810
543,6400,5.5,2400,43200
544,6400,5.5,2400,43200
545,6400,5.5,2400,43200
546,6400,5.5,2400,43200
547,6400,5.5,2400,43200
548,6400,5.5,2400,43200
549,6400,5.5,2400,43200
550,6400,5.5,2400,43200
551,8000,5.5,2400,43200
552,8000,5.5,2400,43200
553,8000,5.5,2400,43200
554,8000,5.5,2400,43200
555,8000,5.5,2400,43200
556,8000,5.5,2400,43200
557,8000,5.5,2400,43200
558,8000,5.5,2400,43200
559,8000,5.5,2400,43200
560,8000,5.5,2400,43200
561,8000,5.5,2400,43200
562,8000,5.5,2400,43200
563,8000,5.5,2400,43200
564,8000,5.5,2400,43200
565,8000,5.5,2400,43200
566,8000,5.5,2400,43200
567,8000,5.5,2400,43200
568,8000,5.5,2400,43200
569,8000,5.5,2400,43200
570,8000,5.5,2400,43200
571,7200,6.6,2640,2160
572,7200,6.6,2640,2160
573,7200,6.6,2640,2160
574,7200,6.6,2640,2160
575,3000,6.9,3000,900
576,3000,6.9,3000,900
577,3000,6.9,3000,900
578,3000,6.9,3000,900
579,2400,5.25,2000,1800
580,2400,5.25,2000,1800
581,2400,5.25,2000,1800
582,2400,5.25,2000,1800
583,2400,5.25,2000,1800
584,2400,5.25,2000,1800
585,2400,5.25,2000,1800
586,2400,5.25,2000,1800
587,3000,5.25,2000,1800
588,3000,5.25,2000,1800
589,3000,5.25,2000,1800
590,3000,5.25,2000,1800
591,3000,5.25,2000,1800
592,3000,5.25,2000,1800
593,3000,5.25,2000,1800
594,3000,5.25,2000,1800
595,3000,5.25,2000,1800
596,3000,5.25,2000,1800
597,3000,5.25,2000,1800
598,3000,5.25,2000,1800
599,3000,5.25,2000,1800
600,3000,5.25,2000,1800
601,3000,5.25,2000,1800
602,3000,5.25,2000,1800
603,3000,5.25,2000,1800
604,3000,5.25,2000,1800
605,3000,5.25,2000,1800
606,3000,5.25,2000,1800
607,2700,6.8,2200,810
608,2700,6.8,2200,810
609,2700,6.8,2200,810
610,2700,6.8,2200,810
611,3300,5.5,3000,3600
612,3300,5.5,3000,3600
613,3300,5.5,3000,3600
614,3300,5.5,3000,3600
615,3300,5.5,3000,3600
616,3300,5.5,3000,3600
617,3300,5.5,3000,3600
618,3300,5.5,3000,3600
619,4000,5.5,3000,3600
620,4000,5.5,3000,3600
621,4000,5.5,3000,3600
622,4000,5.5,3000,3600
623,4000,5.5,3000,3600
624,4000,5.5,3000,3600
625,4000,5.5,3000,3600
626,4000,5.5,3000,3600
627,4000,5.5,3000,3600
628,4000,5.5,3000,3600
629,4000,5.5,3000,3600
630,4000,5.5,3000,3600
631,4000,5.5,3000,3600
632,4000,5.5,3000,3600
633,4000,5.5,3000,3600
634,4000,5.5,3000,3600
635,4000,5.5,3000,3600
636,4000,5.5,3000,3600
637,4000,5.5,3000,3600
638,4000,5.5,3000,3600
639,3700,6.5,3500,4050
640,3700,6.5,3500,4050
641,3700,6.5,3500,4050
642,3700,6.5,3500,4050
643,3700,6.5,3500,4050
644,3700,6.5,3500,4050
645,3700,6.5,3500,4050
646,3700,6.5,3500,4050
647,4500,6.5,3500,4050
648,4500,6.5,3500,4050
649,4500,6.5,3500,4050
650,4500,6.5,3500,4050
651,4500,6.5,3500,4050
652,4500,6.5,3500,4050
653,4500,6.5,3500,4050
654,4500,6.5,3500,4050
655,4500,6.5,3500,4050
656,4500,6.5,3500,4050
657,4500,6.5,3500,4050
658,4500,6.5,3500,4050
659,4500,6.5,3500,4050
660,4500,6.5,3500,4050
661,4500,6.5,3500,4050
662,4500,6.5,3500,4050
663,4500,6.5,3500,4050
664,4500,6.5,3500,4050
665,4500,6.5,3500,4050
666,4500,6.5,3500,4050
667,4100,5,2000,4500
668,4100,5,2000,4500
669,4100,5,2000,4500
670,4100,5,2000,4500
671,4100,5,2000,4500
672,4100,5,2000,4500
673,4100,5,2000,4500
674,4100,5,2000,4500
675,5000,5,2000,4500
676,5000,5,2000,4500
677,5000,5,2000,4500
678,5000,5,2000,4500
679,5000,5,2000,4500
680,5000,5,2000,4500
681,5000,5,2000,4500
682,5000,5,2000,4500
683,5000,5,2000,4500
684,5000,5,2000,4500
685,5000,5,2000,4500
686,5000,5,2000,4500
687,5000,5,2000,4500
688,5000,5,2000,4500
689,5000,5,2000,4500
690,5000,5,2000,4500
691,5000,5,2000,4500
692,5000,5,2000,4500
693,5000,5,2000,4500
694,5000,5,2000,4500
695,3200,5.75,2000,34400
696,3200,5.75,2000,34400
697,3200,5.75,2000,34400
698,3200,5.75,2000,34400
699,3200,5.75,2000,34400
700,3200,5.75,2000,34400
701,3200,5.75,2000,34400
702,3200,5.75,2000,34400
703,4000,5.75,2000,34400
704,4000,5.75,2000,34400
705,4000,5.75,2000,34400
706,4000,5.75,2000,34400
707,4000,5.75,2000,34400
708,4000,5.75,2000,34400
709,4000,5.75,2000,34400
710,4000,5.75,2000,34400
711,4000,5.75,2000,34400
712,4000,5.75,2000,34400
713,4000,5.75,2000,34400
714,4000,5.75,2000,34400
715,4000,5.75,2000,34400
716,4000,5.75,2000,34400
717,4000,5.75,2000,34400
718,4000,5.75,2000,34400
719,4000,5.75,2000,34400
720,4000,5.75,2000,34400
721,4000,5.75,2000,34400
722,4000,5.75,2000,34400
723,3600,6.9,2200,1080
724,3600,6.9,2200,1080
725,3600,6.9,2200,1080
726,3600,6.9,2200,1080
727,12000,7,3500,9000
728,12000,7,3500,9000
729,12000,7,3500,9000
730,12000,7,3500,9000
731,12000,7,3500,9000
732,12000,7,3500,9000
733,12000,7,3500,9000
734,12000,7,3500,9000
735,15000,7,3500,9000
736,15000,7,3500,9000
737,15000,7,3500,9000
738,15000,7,3500,9000
739,15000,7,3500,9000
740,15000,7,3500,9000
741,15000,7,3500,9000
742,15000,7,3500,9000
743,15000,7,3500,9000
744,15000,7,3500,9000
745,15000,7,3500,9000
746,15000,7,3500,9000
747,15000,7,3500,9000
748,15000,7,3500,9000
749,15000,7,3500,9000
750,15000,7,3500,9000
751,15000,7,3500,9000
752,15000,7,3500,9000
753,15000,7,3500,9000
754,15000,7,3500,9000
755,13500,8.4,3850,4050
756,13500,8.4,3850,4050
757,13500,8.4,3850,4050
758,13500,8.4,3850,4050
759,4100,5.25,2000,1500
760,4100,5.25,2000,1500
761,4100,5.25,2000,1500
762,4100,5.25,2000,1500
763,4100,5.25,2000,1500
764,4100,5.25,2000,1500
765,4100,5.25,2000,1500
766,4100,5.25,2000,1500
767,5000,5.25,2000,1500
768,5000,5.25,2000,1500
769,5000,5.25,2000,1500
770,5000,5.25,2000,1500
771,5000,5.25,2000,1500
772,5000,5.25,2000,1500
773,5000,5.25,2000,1500
774,5000,5.25,2000,1500
775,5000,5.25,2000,1500
776,5000,5.25,2000,1500
777,5000,5.25,2000,1500
778,5000,5.25,2000,1500
779,5000,5.25,2000,1500
780,5000,5.25,2000,1500
781,5000,5.25,2000,1500
782,5000,5.25,2000,1500
783,5000,5.25,2000,1500
784,5000,5.25,2000,1500
785,5000,5.25,2000,1500
786,5000,5.25,2000,1500
787,4500,6.3,2200,1350
788,4500,6.3,2200,1350
789,4500,6.3,2200,1350
790,4500,6.3,2200,1350
791,1600,7.25,1200,1200
792,1600,7.25,1200,1200
793,1600,7.25,1200,1200
794,1600,7.25,1200,1200
795,1600,7.25,1200,1200
796,1600,7.25,1200,1200
797,1600,7.25,1200,1200
798,1600,7.25,1200,1200
799,2000,7.25,1200,1200
800,2000,7.25,1200,1200
801,2000,7.25,1200,1200
802,2000,7.25,1200,1200
803,2000,7.25,1200,1200
804,2000,7.25,1200,1200
805,2000,7.25,1200,1200
806,2000,7.25,1200,1200
807,2000,7.25,1200,1200
808,2000,7.25,1200,1200
809,2000,7.25,1200,1200
810,2000,7.25,1200,1200
811,2000,7.25,1200,1200
812,2000,7.25,1200,1200
813,2000,7.25,1200,1200
814,2000,7.25,1200,1200
815,2000,7.25,1200,1200
816,2000,7.25,1200,1200
817,2000,7.25,1200,1200
818,2000,7.25,1200,1200
819,10000,4.5,5000,3600
820,10000,4.5,5000,3600
821,10000,4.5,5000,3600
822,10000,4.5,5000,3600
823,10000,4.5,5000,3600
824,10000,4.5,5000,3600
825,10000,4.5,5000,3600
826,10000,4.5,5000,3600
827,12000,4.5,5000,3600
828,12000,4.5,5000,3600
829,12000,4.5,5000,3600
830,12000,4.5,5000,3600
831,12000,4.5,5000,3600
832,12000,4.5,5000,3600
833,12000,4.5,5000,3600
834,12000,4.5,5000,3600
835,12000,4.5,5000,3600
836,12000,4.5,5000,3600
837,12000,4.5,5000,3600
838,12000,4.5,5000,3600
839,12000,4.5,5000,3600
840,12000,4.5,5000,3600
841,12000,4.5,5000,3600
842,12000,4.5,5000,3600
843,12000,4.5,5000,3600
844,12000,4.5,5000,3600
845,12000,4.5,5000,3600
846,12000,4.5,5000,3600
847,5000,4.5,2500,1800
848,5000,4.5,2500,1800
849,5000,4.5,2500,1800
850,5000,4.5,2500,1800
851,5000,4.5,2500,1800
852,5000,4.5,2500,1800
853,5000,4.5,2500,1800
854,5000,4.5,2500,1800
855,6000,4.5,2500,1800
856,6000,4.5,2500,1800
857,6000,4.5,2500,1800
858,6000,4.5,2500,1800
859,6000,4.5,2500,1800
860,6000,4.5,2500,1800
861,6000,4.5,2500,1800
862,6000,4.5,2500,1800
863,6000,4.5,2500,1800
864,6000,4.5,2500,1800
865,6000,4.5,2500,1800
866,6000,4.5,2500,1800
867,6000,4.5,2500,1800
868,6000,4.5,2500,1800
869,6000,4.5,2500,1800
870,6000,4.5,2500,1800
871,6000,4.5,2500,1800
872,6000,4.5,2500,1800
873,6000,4.5,2500,1800
874,6000,4.5,2500,1800
875,6000,4.8,1200,1800
876,6000,4.8,1200,1800
877,6000,4.8,1200,1800
878,6000,4.8,1200,1800
879,5000,2.5,2000,150000
880,5000,2.5,2000,150000
881,5000,2.5,2000,150000
882,5000,2.5,2000,150000
883,5000,2.5,2000,150000
884,5000,2.5,2000,150000
885,5000,2.5,2000,150000
886,5000,2.5,2000,150000
887,4000,2.5,500,100000
888,4000,2.5,500,100000
889,4000,2.5,500,100000
890,4000,2.5,500,100000
891,4000,2.5,500,100000
892,4000,2.5,500,100000
893,4000,2.5,500,100000
894,4000,2.5,500,100000
895,3000,3.25,500,36000
896,3000,3.25,500,36000
897,3000,3.25,500,36000
898,3000,3.25,500,36000
899,3000,3.25,500,36000
900,3000,3.25,500,36000
901,3000,3.25,500,36000
902,3000,3.25,500,36000
903,5000,57.5,3000,9000
904,5000,57.5,3000,9000
905,5000,57.5,3000,9000
906,5000,57.5,3000,9000
907,5000,57.5,3000,9000
908,5000,57.5,3000,9000
909,5000,57.5,3000,9000
910,5000,57.5,3000,9000
911,5000,57.5,3000,9000
912,5000,57.5,3000,9000
913,5000,57.5,3000,9000
914,5000,57.5,3000,9000
915,5000,57.5,3000,9000
916,5000,57.5,3000,9000
917,5000,57.5,3000,9000
918,5000,57.5,3000,9000
919,4000,19,2000,7200
920,4000,19,2000,7200
921,4000,19,2000,7200
922,4000,19,2000,7200
923,4000,19,2000,7200
924,4000,19,2000,7200
925,4000,19,2000,7200
926,4000,19,2000,7200
927,4000,19,2000,7200
928,4000,19,2000,7200
929,4000,19,2000,7200
930,4000,19,2000,7200
931,4000,19,2000,7200
932,4000,19,2000,7200
933,4000,19,2000,7200
934,4000,19,2000,7200
935,10000,16,10000,18000
936,10000,16,10000,18000
937,10000,16,10000,18000
938,10000,16,10000,18000
939,10000,16,10000,18000
940,10000,16,10000,18000
941,10000,16,10000,18000
942,10000,16,10000,18000
943,10000,16,10000,18000
944,10000,16,10000,18000
945,10000,16,10000,18000
946,10000,16,10000,18000
947,10000,16,10000,18000
948,10000,16,10000,18000
949,10000,16,10000,18000
950,10000,16,10000,18000
951,1000,100,10000,4200
952,1000,100,10000,4200
953,1000,100,10000,4200
954,1000,100,10000,4200
955,1000,100,10000,4200
956,1000,100,10000,4200
957,1000,100,10000,4200
958,1000,100,10000,4200
959,1000,100,10000,4200
960,1000,100,10000,4200
961,1000,100,10000,4200
962,1000,100,10000,4200
963,1000,100,10000,4200
964,1000,100,10000,4200
965,1000,100,10000,4200
966,1000,100,10000,4200
